Wallet loaded: EpG25pVadjQ9M9NHJMXZ...
📊 Monitoring COPE (DYNAMIC TP/SL)...
  SL: $0.00177195
  TP1: $0.00193636 (50% exit)
  TP2: $0.00200409 (final exit)
  Max Hold: 180 min
1:00:43 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 104m left
1:00:48 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 104m left
1:00:54 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 104m left
1:01:02 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 104m left
1:01:07 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 104m left
1:01:13 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 103m left
1:01:18 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 103m left
1:01:23 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 103m left
1:01:28 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 103m left
1:01:33 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 103m left
1:01:38 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 103m left
1:01:43 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 103m left
1:01:49 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 103m left
1:01:54 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 103m left
1:01:59 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 103m left
1:02:04 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 103m left
1:02:09 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 103m left
1:02:14 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 102m left
1:02:19 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 102m left
1:02:24 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 102m left
1:02:30 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 102m left
1:02:35 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 102m left
